ramo_que_mas_me_carga_en_la_vidaalgebra_(de_todos_los_sabores:_abstracta_inabstracta_lo_que_ud_saben)	ramo_que_mas_me_carga_en_la_vidacalculo_analisis_real	ramo_que_mas_me_carga_en_la_vidaotra	ramo_que_mas_me_carga_en_la_vidaprocesos_estocasticos_estadistica_y_probabilidad	ramo_que_mas_amo_en_la_vidacalculo_analisis_real	ramo_que_mas_amo_en_la_vidaotra	ramo_que_mas_amo_en_la_vidaprocesos_estocasticos_estadistica_y_probabilidad	cuantos_amigos_cercanos_tiene_en_este_curso	cuantos_enemigos_te_recomendaron_este_curso	ano_de_carrera
1	0	0	0	0	0	1	1	10	10
1	0	0	0	0	1	0	2	3	7
1	0	0	0	0	0	1	2	1	4
0	0	1	0	0	0	1	3	1	5
0	0	1	0	0	1	0	3	1	4
0	0	0	1	0	1	0	2	1	4
1	0	0	0	0	0	1	3	1	5
1	0	0	0	0	0	1	3	6	6
1	0	0	0	0	0	1	1	1	6
0	0	0	1	1	0	0	1	1	5
0	0	1	0	1	0	0	1	5	6
1	0	0	0	1	0	0	3	1	6
1	0	0	0	0	1	0	1	1	8
0	0	0	1	1	0	0	2	10	6
0	1	0	0	0	1	0	3	1	6
0	0	1	0	0	1	0	1	1	5
0	0	0	1	1	0	0	3	8	5
0	0	1	0	0	0	0	3	2	5
0	0	1	0	0	1	0	1	1	8
